example_id                                  | status | run_time        |
./spec/storage_spec.rb[1:7:1]               | passed | 0.0041 seconds  |
./spec/storage_spec.rb[1:7:2]               | passed | 0.00292 seconds |
./spec/storage_spec.rb[1:8:1]               | passed | 0.00288 seconds |
./spec/storage_spec.rb[1:8:2]               | passed | 0.00272 seconds |
./spec/storage_spec.rb[1:8:3]               | passed | 0.00297 seconds |
./spec/storage_spec.rb[1:9:1]               | passed | 0.00444 seconds |
./spec/storage_spec.rb[1:9:2]               | passed | 0.00381 seconds |
./spec/storage_spec.rb[1:9:3]               | passed | 0.00537 seconds |
./spec/wolf_archiver_spec.rb[1:1:1]         | passed | 0.35578 seconds |
./spec/wolf_archiver_spec.rb[1:2:1:1]       | passed | 0.01171 seconds |
./spec/wolf_archiver_spec.rb[1:2:2:1]       | passed | 0.02511 seconds |
./spec/wolf_archiver_spec.rb[1:2:3:1]       | passed | 0.00575 seconds |
./spec/wolf_archiver_spec.rb[1:2:4:1]       | passed | 0.00582 seconds |
./spec/wolf_archiver_spec.rb[1:2:5:1]       | passed | 0.00349 seconds |
./spec/wolf_archiver_spec.rb[1:2:6:1]       | passed | 0.00499 seconds |
